timestamp_s,smooth_ear,system_state,ground_truth,alarm_fired
0.016,,OPEN,UNKNOWN,0
0.581,0.3323,OPEN,UNKNOWN,0
1.101,0.3012,OPEN,UNKNOWN,0
1.633,0.2766,OPEN,UNKNOWN,0
2.133,0.2748,OPEN,UNKNOWN,0
2.638,0.2457,OPEN,UNKNOWN,0
3.14,0.2802,OPEN,UNKNOWN,0
3.673,0.2823,OPEN,UNKNOWN,0
4.182,0.2141,OPEN,UNKNOWN,0
4.712,0.2742,OPEN,UNKNOWN,0
5.212,0.2829,OPEN,UNKNOWN,0
5.747,0.2216,OPEN,UNKNOWN,0
6.248,0.1276,OPEN,UNKNOWN,0
6.75,0.2154,OPEN,UNKNOWN,0
7.284,0.2896,OPEN,UNKNOWN,0
7.82,0.2426,OPEN,UNKNOWN,0
8.347,0.1169,OPEN,UNKNOWN,0
8.882,0.1053,OPEN,UNKNOWN,0
9.384,0.1169,OPEN,UNKNOWN,0
9.914,0.0995,OPEN,UNKNOWN,0
10.439,0.1033,DROWSY,UNKNOWN,0
10.972,0.0984,DROWSY,UNKNOWN,0
11.473,0.1045,DROWSY,UNKNOWN,0
12.006,0.0807,DROWSY,UNKNOWN,0
12.507,0.0784,DROWSY,UNKNOWN,0
13.018,0.1685,DROWSY,UNKNOWN,0
13.553,0.2747,OPEN,UNKNOWN,0
14.081,0.2434,OPEN,UNKNOWN,0
14.607,0.2723,OPEN,UNKNOWN,0
15.107,0.3173,OPEN,UNKNOWN,0
15.608,0.2645,OPEN,UNKNOWN,0
16.109,0.2803,OPEN,UNKNOWN,0
16.61,0.2984,OPEN,UNKNOWN,0
17.113,0.2895,OPEN,UNKNOWN,0
17.619,0.1961,OPEN,UNKNOWN,0
18.122,0.2641,OPEN,UNKNOWN,0
18.657,0.2845,OPEN,UNKNOWN,0
19.181,0.2636,OPEN,UNKNOWN,0
19.72,0.1223,OPEN,UNKNOWN,0
20.221,0.2064,OPEN,UNKNOWN,0
