timestamp_s,smooth_ear,system_state,ground_truth,alarm_fired
75.224,0.3487,OPEN,OPEN,0
75.788,0.3267,OPEN,CLOSED,0
76.326,0.1763,OPEN,CLOSED,0
76.886,0.1533,OPEN,CLOSED,0
77.39,0.147,OPEN,CLOSED,0
77.924,0.1389,OPEN,CLOSED,0
78.442,0.1244,DROWSY,CLOSED,0
78.976,0.1276,DROWSY,CLOSED,0
79.477,0.1244,DROWSY,CLOSED,0
79.979,0.1246,DROWSY,CLOSED,0
80.485,0.1217,DROWSY,CLOSED,0
81.01,0.2547,OPEN,CLOSED,0
81.544,0.2708,OPEN,CLOSED,0
82.078,0.223,OPEN,OPEN,0
82.579,0.2864,OPEN,OPEN,0
83.093,0.2805,OPEN,OPEN,0
83.593,0.2359,OPEN,OPEN,0
84.123,0.2525,OPEN,OPEN,0
84.628,0.2775,OPEN,OPEN,0
85.16,0.2886,OPEN,OPEN,0
85.689,0.2997,OPEN,OPEN,0
86.19,0.2328,OPEN,OPEN,0
86.691,0.2104,OPEN,OPEN,0
87.192,0.1352,OPEN,OPEN,0
87.73,0.1857,OPEN,OPEN,0
88.232,0.3051,OPEN,OPEN,0
88.763,0.2923,OPEN,OPEN,0
89.287,0.1974,OPEN,OPEN,0
89.792,0.1472,OPEN,OPEN,0
90.297,0.1537,OPEN,OPEN,0
90.832,0.2614,OPEN,OPEN,0
91.358,0.2635,OPEN,OPEN,0
91.861,0.2915,OPEN,OPEN,0
92.365,0.2914,OPEN,OPEN,0
92.899,0.3031,OPEN,OPEN,0
93.432,0.2636,OPEN,CLOSED,0
93.967,0.136,OPEN,CLOSED,0
94.496,0.1343,OPEN,CLOSED,0
95.032,0.1102,OPEN,CLOSED,0
95.532,0.1149,DROWSY,CLOSED,1
96.054,0.1188,DROWSY,CLOSED,0
96.554,0.1163,DROWSY,CLOSED,0
97.055,0.119,DROWSY,CLOSED,0
97.558,0.1255,DROWSY,CLOSED,0
98.069,0.1187,DROWSY,CLOSED,1
98.588,0.1185,DROWSY,CLOSED,0
99.089,0.1083,DROWSY,CLOSED,0
99.589,0.1296,DROWSY,CLOSED,0
100.114,0.1078,DROWSY,CLOSED,0
100.63,0.1038,DROWSY,CLOSED,0
101.16,0.1033,DROWSY,CLOSED,0
101.69,0.1028,DROWSY,CLOSED,0
102.19,0.1274,DROWSY,CLOSED,0
102.703,0.1098,DROWSY,CLOSED,0
103.225,0.144,DROWSY,OPEN,0
103.758,0.2572,OPEN,OPEN,0
104.26,0.2736,OPEN,OPEN,0
104.761,0.2835,OPEN,OPEN,0
105.294,0.2933,OPEN,OPEN,0
105.808,0.302,OPEN,OPEN,0
106.332,0.2985,OPEN,OPEN,0
106.84,0.2782,OPEN,OPEN,0
107.372,0.2661,OPEN,OPEN,0
107.907,0.2122,OPEN,OPEN,0
108.443,0.3011,OPEN,OPEN,0
108.976,0.2905,OPEN,OPEN,0
109.497,0.2643,OPEN,OPEN,0
109.999,0.2867,OPEN,OPEN,0
110.499,0.2767,OPEN,OPEN,0
111.006,0.2221,OPEN,OPEN,0
