timestamp_s,smooth_ear,system_state,ground_truth,alarm_fired
0.008,,OPEN,UNKNOWN,0
0.522,0.2826,OPEN,UNKNOWN,0
1.048,0.2815,OPEN,UNKNOWN,0
1.575,0.2864,OPEN,UNKNOWN,0
2.108,0.2896,OPEN,UNKNOWN,0
2.615,0.2687,OPEN,UNKNOWN,0
3.118,0.2016,OPEN,UNKNOWN,0
3.658,0.1869,OPEN,UNKNOWN,0
4.189,0.1962,OPEN,UNKNOWN,0
4.71,0.2679,OPEN,UNKNOWN,0
5.26,0.2743,OPEN,UNKNOWN,0
5.795,0.2737,OPEN,UNKNOWN,0
6.329,0.2888,OPEN,UNKNOWN,0
6.894,0.2851,OPEN,UNKNOWN,0
7.395,0.2896,OPEN,UNKNOWN,0
7.961,0.2229,OPEN,UNKNOWN,0
8.493,0.1814,OPEN,UNKNOWN,0
9.016,0.2261,OPEN,UNKNOWN,0
9.562,0.2625,OPEN,UNKNOWN,0
10.082,0.2705,OPEN,UNKNOWN,0
10.584,0.274,OPEN,UNKNOWN,0
11.086,0.306,OPEN,UNKNOWN,0
11.588,0.3194,OPEN,UNKNOWN,0
12.121,0.2989,OPEN,UNKNOWN,0
12.662,0.241,OPEN,UNKNOWN,0
13.164,0.2856,OPEN,UNKNOWN,0
13.698,0.2802,OPEN,UNKNOWN,0
14.2,0.2636,OPEN,UNKNOWN,0
14.763,0.1913,OPEN,UNKNOWN,0
15.265,0.1753,OPEN,UNKNOWN,0
15.801,0.2023,OPEN,UNKNOWN,0
16.366,0.2751,OPEN,UNKNOWN,0
16.9,0.2113,OPEN,UNKNOWN,0
17.403,0.2066,OPEN,UNKNOWN,0
17.928,0.2977,OPEN,CLOSED,0
18.465,0.1546,OPEN,CLOSED,0
18.996,0.0957,OPEN,CLOSED,0
19.501,0.1009,OPEN,CLOSED,0
20.022,0.1051,OPEN,CLOSED,0
20.553,0.0847,DROWSY,CLOSED,0
21.054,0.1111,DROWSY,CLOSED,0
21.554,0.1273,DROWSY,CLOSED,0
22.088,0.1043,DROWSY,CLOSED,0
22.589,0.0921,DROWSY,CLOSED,0
23.092,0.0936,DROWSY,CLOSED,0
23.597,0.0918,DROWSY,CLOSED,0
24.123,0.1244,DROWSY,CLOSED,0
24.655,0.0671,DROWSY,CLOSED,0
25.156,0.2387,OPEN,OPEN,0
25.66,0.2655,OPEN,OPEN,0
26.173,0.2455,OPEN,OPEN,0
26.692,0.2209,OPEN,OPEN,0
27.201,0.2649,OPEN,OPEN,0
27.706,0.2635,OPEN,OPEN,0
28.209,0.2148,OPEN,OPEN,0
28.741,0.1637,OPEN,OPEN,0
29.308,0.2427,OPEN,OPEN,0
29.839,0.3084,OPEN,OPEN,0
30.374,0.1538,OPEN,OPEN,0
30.91,0.2434,OPEN,CLOSED,0
31.411,0.2159,OPEN,CLOSED,0
31.943,0.1556,OPEN,CLOSED,0
32.47,0.1375,OPEN,CLOSED,0
32.977,0.1451,OPEN,CLOSED,0
33.495,0.126,DROWSY,CLOSED,0
33.996,0.1278,DROWSY,CLOSED,0
34.529,0.1203,DROWSY,CLOSED,0
35.03,0.1092,DROWSY,CLOSED,0
35.533,0.1226,DROWSY,CLOSED,0
36.063,0.1558,DROWSY,CLOSED,0
36.563,0.2784,OPEN,OPEN,0
37.064,0.2983,OPEN,OPEN,0
37.565,0.2638,OPEN,OPEN,0
38.065,0.283,OPEN,OPEN,0
38.568,0.286,OPEN,OPEN,0
39.073,0.3144,OPEN,OPEN,0
39.58,0.2212,OPEN,OPEN,0
40.114,0.2865,OPEN,OPEN,0
40.615,0.3121,OPEN,OPEN,0
41.116,0.2547,OPEN,OPEN,0
41.68,0.2552,OPEN,OPEN,0
42.181,0.286,OPEN,OPEN,0
42.682,0.3117,OPEN,OPEN,0
43.213,0.2019,OPEN,OPEN,0
43.716,0.1487,OPEN,OPEN,0
44.252,0.1388,OPEN,CLOSED,0
44.782,0.1245,OPEN,CLOSED,0
