timestamp_s,smooth_ear,system_state,ground_truth,alarm_fired
0.011,,OPEN,UNKNOWN,0
0.545,0.2843,OPEN,UNKNOWN,0
1.274,0.2757,OPEN,UNKNOWN,0
1.803,0.273,OPEN,UNKNOWN,0
2.307,0.2771,OPEN,UNKNOWN,0
2.817,0.2885,OPEN,UNKNOWN,0
3.318,0.2943,OPEN,UNKNOWN,0
3.821,0.257,OPEN,UNKNOWN,0
4.354,0.1739,OPEN,UNKNOWN,0
4.855,0.1465,OPEN,UNKNOWN,0
5.421,0.2317,OPEN,UNKNOWN,0
5.924,0.2867,OPEN,UNKNOWN,0
6.44,0.3018,OPEN,UNKNOWN,0
6.942,0.2943,OPEN,UNKNOWN,0
7.475,0.3009,OPEN,UNKNOWN,0
7.983,0.291,OPEN,UNKNOWN,0
8.486,0.2849,OPEN,UNKNOWN,0
9.019,0.2171,OPEN,UNKNOWN,0
9.555,0.2811,OPEN,UNKNOWN,0
10.087,0.1733,OPEN,UNKNOWN,0
10.621,0.1103,OPEN,UNKNOWN,0
11.156,0.2642,OPEN,UNKNOWN,0
11.657,0.1606,OPEN,UNKNOWN,0
12.176,0.1877,OPEN,UNKNOWN,0
12.677,0.1146,OPEN,UNKNOWN,0
13.186,0.1362,OPEN,UNKNOWN,0
13.711,0.0907,DROWSY,UNKNOWN,0
14.244,0.0961,DROWSY,UNKNOWN,0
14.781,0.098,DROWSY,UNKNOWN,0
15.311,0.1185,DROWSY,UNKNOWN,0
15.813,0.0912,DROWSY,UNKNOWN,0
16.346,0.0984,DROWSY,UNKNOWN,0
16.846,0.1321,DROWSY,UNKNOWN,0
17.347,0.289,OPEN,UNKNOWN,0
17.879,0.2721,OPEN,UNKNOWN,0
18.38,0.302,OPEN,UNKNOWN,0
18.88,0.2462,OPEN,UNKNOWN,0
19.385,0.1476,OPEN,UNKNOWN,0
19.918,0.1254,OPEN,UNKNOWN,0
20.423,0.2501,OPEN,UNKNOWN,0
20.952,0.3089,OPEN,UNKNOWN,0
21.482,0.2647,OPEN,UNKNOWN,0
21.989,0.2865,OPEN,UNKNOWN,0
22.524,0.2743,OPEN,UNKNOWN,0
23.053,0.2929,OPEN,UNKNOWN,0
23.584,0.2497,OPEN,UNKNOWN,0
24.116,0.2078,OPEN,UNKNOWN,0
24.627,0.1722,OPEN,UNKNOWN,0
25.15,0.175,OPEN,UNKNOWN,0
