timestamp_s,smooth_ear,system_state,ground_truth,alarm_fired
0.025,,OPEN,UNKNOWN,0
0.529,0.2174,OPEN,UNKNOWN,0
1.048,0.2547,OPEN,UNKNOWN,0
1.567,0.2851,OPEN,UNKNOWN,0
2.077,0.27,OPEN,UNKNOWN,0
2.611,0.2806,OPEN,UNKNOWN,0
3.139,0.2831,OPEN,UNKNOWN,0
3.64,0.2913,OPEN,UNKNOWN,0
4.141,0.17,OPEN,UNKNOWN,0
4.646,0.1129,OPEN,UNKNOWN,0
5.177,0.1083,OPEN,UNKNOWN,0
5.71,0.088,OPEN,UNKNOWN,0
6.234,0.1024,DROWSY,UNKNOWN,0
6.734,0.1068,DROWSY,UNKNOWN,0
7.268,0.0951,DROWSY,UNKNOWN,0
7.768,0.0874,DROWSY,UNKNOWN,0
8.269,0.0817,DROWSY,UNKNOWN,0
8.772,0.0876,DROWSY,UNKNOWN,0
9.302,0.0956,DROWSY,UNKNOWN,0
9.803,0.1053,DROWSY,UNKNOWN,0
10.303,0.0926,DROWSY,UNKNOWN,0
10.805,0.0866,DROWSY,UNKNOWN,0
11.319,0.1074,DROWSY,UNKNOWN,0
11.886,0.2492,OPEN,UNKNOWN,0
12.453,0.2886,OPEN,UNKNOWN,0
13.021,0.2466,OPEN,UNKNOWN,0
13.541,0.2872,OPEN,UNKNOWN,0
14.073,0.3112,OPEN,UNKNOWN,0
14.573,0.1694,OPEN,UNKNOWN,0
15.073,0.1911,OPEN,UNKNOWN,0
15.575,0.2486,OPEN,UNKNOWN,0
16.121,0.1643,OPEN,UNKNOWN,0
